Extracted form: G. Audi et al. / Nuclear Physics A 729 (2003) 3   amdc.in2p3.fr/nubase/nubtab03.asc			
Includes isotopes with abundance>0  + neutron, tritium and 1 to 4 of the longest-live isotopes of Tc, Pm, Po, At, Rn, Fr, Ra, Ac, Np, Pu, Am, Cm, Bk, Cf. Number of digits on mass reflects uncertainty			
Feel free to add isotopes as needed and suggest them to Corteo/Mystere/Alegria author			
Z	mass	abundance	symbol
0	1.008664916	0	 n
1	1.007825032	0.999885	H
1	2.014101778	0.000115	H
1	3.016049277	0	H
2	3.016029319	0.00000137	He
2	4.002603254	0.99999863	He
3	6.015122795	0.0759	Li
3	7.01600455	0.9241	Li
4	9.0121822	1	Be
5	10.012937	0.199	B
5	11.0093054	0.801	B
6	12.00000000	0.9893	C
6	13.00335484	0.0107	C
7	14.003074	0.99632	N
7	15.0001089	0.00368	N
8	15.99491462	0.99757	O
8	16.99913171	0.00038	O
8	17.999161	0.00205	O
9	18.99840322	1	F
10	19.99244018	0.9048	Ne
10	20.99384668	0.0027	Ne
10	21.99138511	0.0925	Ne
11	22.98976928	1	Na
12	23.9850417	0.7899	Mg
12	24.98583691	0.1	Mg
12	25.98259293	0.1101	Mg
13	26.98153863	1	Al
14	27.97692653	0.922297	Si
14	28.9764947	0.046832	Si
14	29.97377017	0.030872	Si
15	30.97376164	1	P
16	31.972071	0.9493	S
16	32.97145876	0.0076	S
16	33.9678669	0.0429	S
16	35.96708077	0.0002	S
17	34.96885268	0.7578	Cl
17	36.96590259	0.2422	Cl
18	35.96754511	0.003365	Ar
18	37.96273234	0.000632	Ar
18	39.96238312	0.996003	Ar
19	38.96370668	0.932581	K
19	39.96399848	0.000117	K
19	40.96182577	0.067302	K
20	39.96259099	0.96941	Ca
20	41.95861802	0.00647	Ca
20	42.95876667	0.00135	Ca
20	43.95548173	0.02086	Ca
20	45.9536926	0.00004	Ca
20	47.9525343	0.00187	Ca
21	44.9559119	1	Sc
22	45.95263158	0.0825	Ti
22	46.95176308	0.0744	Ti
22	47.94794631	0.7372	Ti
22	48.94786998	0.0541	Ti
22	49.94479117	0.0518	Ti
23	49.94715844	0.0025	V
23	50.94395949	0.9975	V
24	49.94604421	0.04345	Cr
24	51.94050751	0.83789	Cr
24	52.94064943	0.09501	Cr
24	53.93888045	0.02365	Cr
25	54.93804512	1	Mn
26	53.93961046	0.05845	Fe
26	55.93493743	0.91754	Fe
26	56.935394	0.02119	Fe
26	57.93327558	0.00282	Fe
27	58.93319506	1	Co
28	57.9353429	0.680769	Ni
28	59.93078635	0.262231	Ni
28	60.93105603	0.011399	Ni
28	61.92834511	0.036345	Ni
28	63.92796594	0.009256	Ni
29	62.92959751	0.6917	Cu
29	64.92778945	0.3083	Cu
30	63.92914222	0.4863	Zn
30	65.92603345	0.279	Zn
30	66.92712739	0.041	Zn
30	67.92484418	0.1875	Zn
30	69.92531933	0.0062	Zn
31	68.92557354	0.60108	Ga
31	70.9247014	0.39892	Ga
32	69.92424739	0.2084	Ge
32	71.92207583	0.2754	Ge
32	72.92345898	0.0773	Ge
32	73.92117781	0.3628	Ge
32	75.92140261	0.0761	Ge
33	74.92159649	1	As
34	73.92247648	0.0089	Se
34	75.91921355	0.0937	Se
34	76.91991403	0.0763	Se
34	77.91730908	0.2377	Se
34	79.91652131	0.4961	Se
34	81.91669941	0.0873	Se
35	78.9183371	0.5069	Br
35	80.91629061	0.4931	Br
36	77.92036481	0.0035	Kr
36	79.91637896	0.0228	Kr
36	81.91348361	0.1158	Kr
36	82.9141361	0.1149	Kr
36	83.9115067	0.57	Kr
36	85.91061073	0.173	Kr
37	84.91178974	0.7217	Rb
37	86.90918053	0.2783	Rb
38	83.9134251	0.0056	Sr
38	85.90926018	0.0986	Sr
38	86.90887714	0.07	Sr
38	87.90561217	0.8258	Sr
39	88.90584835	1	Y
40	89.90470438	0.5145	Zr
40	90.90564577	0.1122	Zr
40	91.90504083	0.1715	Zr
40	93.90631523	0.1738	Zr
40	95.90827338	0.028	Zr
41	92.90637804	1	Nb
42	91.906811	0.1484	Mo
42	93.90508828	0.0925	Mo
42	94.90584212	0.1592	Mo
42	95.90467947	0.1668	Mo
42	96.90602151	0.0955	Mo
42	97.9054082	0.2413	Mo
42	99.9074777	0.0963	Mo
43	97.9072157	0	Tc
43	96.9063655	0	Tc
43	98.90625479	0	Tc
44	95.9075979	0.0554	Ru
44	97.9052876	0.0187	Ru
44	98.90593928	0.1276	Ru
44	99.90421946	0.126	Ru
44	100.9055821	0.1706	Ru
44	101.9043494	0.3155	Ru
44	103.9054326	0.1862	Ru
45	102.9055043	1	Rh
