Extracted form: G. Audi et al. / Nuclear Physics A 729 (2003) 3   amdc.in2p3.fr/nubase/nubtab03.asc			
Includes isotopes with abundance>0  + neutron, tritium and 1 to 4 of the longest-live isotopes of Tc, Pm, Po, At, Rn, Fr, Ra, Ac, Np, Pu, Am, Cm, Bk, Cf. Number of digits on mass reflects uncertainty			
Feel free to add isotopes as needed and suggest them to Corteo/Mystere/Alegria author			
Z	mass	abundance	symbol
46	101.9056085	0.0102	Pd
46	103.9040359	0.1114	Pd
46	104.9050847	0.2233	Pd
46	105.9034862	0.2733	Pd
46	107.903892	0.2646	Pd
46	109.9051534	0.1172	Pd
47	106.9050965	0.51839	Ag
47	108.9047523	0.48161	Ag
48	105.9064599	0.0125	Cd
48	107.904184	0.0089	Cd
48	109.9030021	0.1249	Cd
48	110.9041781	0.128	Cd
48	111.9027578	0.2413	Cd
48	112.9044016	0.1222	Cd
48	113.9033586	0.2873	Cd
48	115.9047562	0.0749	Cd
49	112.9040574	0.0429	In
49	114.9038781	0.9571	In
50	111.9048185	0.0097	Sn
50	113.9027788	0.0066	Sn
50	114.9033424	0.0034	Sn
50	115.9017405	0.1454	Sn
50	116.9029516	0.0768	Sn
50	117.9016031	0.2422	Sn
50	118.9033076	0.0859	Sn
50	119.9021947	0.3258	Sn
50	121.9034391	0.0463	Sn
50	123.9052739	0.0579	Sn
51	120.9038157	0.5721	Sb
51	122.904214	0.4279	Sb
52	119.9040198	0.0009	Te
52	121.9030439	0.0255	Te
52	122.90427	0.0089	Te
52	123.902818	0.0474	Te
52	124.9044307	0.0707	Te
52	125.9033117	0.1884	Te
52	127.9044631	0.3174	Te
52	129.9062244	0.3408	Te
53	126.9044728	1	I
54	123.905893	0.0009	Xe
54	125.9042731	0.0009	Xe
54	127.9035313	0.0192	Xe
54	128.9047794	0.2644	Xe
54	129.903508	0.0408	Xe
54	130.9050824	0.2118	Xe
54	131.9041534	0.2689	Xe
54	133.9053945	0.1044	Xe
54	135.9072189	0.0887	Xe
55	132.9054519	1	Cs
56	129.9063208	0.00106	Ba
56	131.9050613	0.00101	Ba
56	133.9045084	0.02417	Ba
56	134.9056886	0.06592	Ba
56	135.904576	0.07854	Ba
56	136.9058274	0.11232	Ba
56	137.9052473	0.71698	Ba
57	137.9071116	0.0009	La
57	138.9063532	0.9991	La
58	135.9071728	0.00185	Ce
58	137.9059908	0.00251	Ce
58	139.9054387	0.8845	Ce
58	141.9092442	0.11114	Ce
59	140.9076528	1	Pr
60	141.9077233	0.272	Nd
60	142.9098143	0.122	Nd
60	143.9100872	0.238	Nd
60	144.9125737	0.083	Nd
60	145.9131169	0.172	Nd
60	147.9168933	0.057	Nd
60	149.9208905	0.056	Nd
61	144.9127488	0	Pm
61	145.9146962	0	Pm
61	146.9151386	0	Pm
62	143.9119994	0.0307	Sm
62	146.9148979	0.1499	Sm
62	147.9148226	0.1124	Sm
62	148.9171848	0.1382	Sm
62	149.9172756	0.0738	Sm
62	151.9197324	0.2675	Sm
62	153.9222093	0.2275	Sm
63	150.9198502	0.4781	Eu
63	152.9212303	0.5219	Eu
64	151.919791	0.002	Gd
64	153.9208656	0.0218	Gd
64	154.9226221	0.148	Gd
64	155.9221227	0.2047	Gd
64	156.9239601	0.1565	Gd
64	157.9241039	0.2484	Gd
64	159.9270542	0.2186	Gd
65	158.9253468	1	Tb
66	155.9242829	0.0006	Dy
66	157.9244096	0.001	Dy
66	159.9251975	0.0234	Dy
66	160.9269334	0.1891	Dy
66	161.9267985	0.2551	Dy
66	162.9287312	0.249	Dy
66	163.9291748	0.2818	Dy
67	164.930322	1	Ho
68	161.9287779	0.0014	Er
68	163.9291998	0.0161	Er
68	165.9302931	0.3361	Er
68	166.9320482	0.2293	Er
68	167.9323703	0.2678	Er
68	169.9354643	0.1493	Er
69	168.9342132	1	Tm
70	167.9338965	0.0013	Yb
70	169.9347618	0.0304	Yb
70	170.9363258	0.1428	Yb
70	171.9363815	0.2183	Yb
70	172.9382108	0.1613	Yb
70	173.9388621	0.3183	Yb
70	175.9425717	0.1276	Yb
71	174.9407718	0.9741	Lu
71	175.9426863	0.0259	Lu
72	173.9400462	0.0016	Hf
72	175.9414086	0.0526	Hf
72	176.9432207	0.186	Hf
72	177.9436987	0.2728	Hf
72	178.9458162	0.1362	Hf
72	179.94655	0.3508	Hf
73	179.9475457	0.00012	Ta
73	180.9479958	0.99988	Ta
74	179.946705	0.0012	W
74	181.9482042	0.265	W
74	182.950223	0.1431	W
74	183.9509312	0.3064	W
74	185.9543642	0.2843	W
75	184.9529549	0.374	Re
75	186.9557531	0.626	Re
76	183.9524891	0.0002	Os
76	185.9538381	0.0159	Os
76	186.9557504	0.0196	Os
76	187.9558383	0.1324	Os
76	188.9581475	0.1615	Os
76	189.9584471	0.2626	Os
76	191.9614807	0.4078	Os
77	190.9605941	0.373	Ir
77	192.9629264	0.627	Ir
78	189.9599321	0.00014	Pt
78	191.961038	0.00782	Pt
78	193.9626803	0.32967	Pt
78	194.9647912	0.33832	Pt
78	195.9649516	0.25242	Pt
78	197.9678924	0.07163	Pt
79	196.9665687	1	Au
80	195.9658326	0.0015	Hg
80	197.9667691	0.0997	Hg
80	198.9682799	0.1687	Hg
80	199.968326	0.231	Hg
80	200.9703022	0.1318	Hg
80	201.970643	0.2986	Hg
80	203.973494	0.0687	Hg
81	202.9723442	0.29524	Tl
81	204.9744275	0.70476	Tl
82	203.9730436	0.014	Pb
82	205.9744653	0.241	Pb
82	206.9758969	0.221	Pb
82	207.976652	0.524	Pb
83	208.9803987	1	Bi
84	208.9824305	0	Po
84	207.9812457	0	Po
84	209.9828736	0	Po
85	209.9871475	0	At
85	210.9874963	0	At
85	208.9861728	0	At
86	222.0175778	0	Rn
86	210.9906	0	Rn
86	209.9896961	0	Rn
87	223.0197358	0	Fr
87	211.9962018	0	Fr
87	222.0175514	0	Fr
88	226.0254098	0	Ra
88	228.0310703	0	Ra
88	225.0236115	0	Ra
89	227.0277521	0	Ac
89	225.0232294	0	Ac
89	226.0260979	0	Ac
90	232.0380553	1	Th
91	231.035884	0	Pa
91	233.0402473	0	Pa
91	230.0345413	0	Pa
92	234.0409521	0.000055	U
92	235.04393	0.0072	U
92	238.0507882	0.992745	U
93	237.0481735	0	Np
93	236.0465703	0	Np
93	235.0440633	0	Np
94	244.0642044	0	Pu
94	242.0587426	0	Pu
94	239.0521634	0	Pu
94	240.0538136	0	Pu
95	243.0613811	0	Am
95	241.0568291	0	Am
96	247.0703536	0	Cm
96	245.0654912	0	Cm
96	246.0672236	0	Cm
97	247.0703075	0	Bk
98	246.0688053	0	Cf
