#Z	Symbol	Name	Group	Period	MAI	Average weight	Density	Melt	Boil	Heat	Neg
1	H 	Hydrogen 	1	1	1	1.00794	0.00008988	14.175	20.28	14.304	3.2
2	He 	Helium 	18	1	4	4.002602	0.0001785	001 !n/a6 	4.22	5.193	-
3	Li 	Lithium 	1	2	7	6.941	0.534	453.85	1615	3.582	0.98
4	Be 	Beryllium 	2	2	9	9.012182	1.85	1560.15	2742	1.825	1.57
5	B 	Boron 	13	2	11	10.811	2.34	2573.15	4200	1.026	2.04
6	C 	Carbon 	14	2	12	12.0107	2.267	3948.157	4300	0.709	2.55
7	N 	Nitrogen 	15	2	14	14.0067	0.0012506	63.29	77.36	1.04	3.04
8	O 	Oxygen 	16	2	16	15.9994	0.001429	50.5	90.2	0.918	3.44
9	F 	Fluorine 	17	2	19	18.9984032	0.001696	53.63	85.03	0.824	3.98
10	Ne 	Neon 	18	2	20	20.1797	0.0008999	24.703	27.07	1.03	-
11	Na 	Sodium 	1	3	23	22.98976928	0.971	371.15	1156	1.228	0.93
12	Mg 	Magnesium 	2	3	24	24.305	1.738	923.15	1363	1.023	1.31
13	Al 	Aluminum 	13	3	27	26.9815386	2.698	933.4	2792	0.897	1.61
14	Si 	Silicon 	14	3	28	28.0855	2.3296	1683.15	3538	0.705	1.9
15	P 	Phosphorus 	15	3	31	30.973762	1.82	317.25	553	0.769	2.19
16	S 	Sulphur 	16	3	32	32.065	2.067	388.51	717.8	0.71	2.58
17	Cl 	Chlorine 	17	3	35	35.453	0.003214	172.31	239.11	0.479	3.16
18	Ar 	Argon 	18	3	40	39.948	0.0017837	83.96	87.3	0.52	-
19	K 	Potassium 	1	4	39	39.0983	0.862	336.5	1032	0.757	0.82
20	Ca 	Calcium 	2	4	41	40.078	1.54	1112.15	1757	0.647	1
21	Sc 	Scandium 	3	4	45	44.955912	2.989	1812.15	3109	0.568	1.36
22	Ti 	Titanium 	4	4	48	47.867	4.54	1933.15	3560	0.523	1.54
23	V 	Vanadium 	5	4	51	50.9415	6.11	2175.15	3680	0.489	1.63
24	Cr 	Chromium 	6	4	52	51.9961	7.15	2130.15	2944	0.449	1.66
25	Mn 	Manganese 	7	4	55	54.938045	7.44	1519.15	2334	0.479	1.55
26	Fe 	Iron 	8	4	56	55.845	7.874	1808.15	3134	0.449	1.83
27	Co 	Cobalt 	9	4	59	58.933195	8.86	1768.15	3200	0.421	1.88
28	Ni 	Nickel 	10	4	58	58.6934	8.912	1726.15	3186	0.444	1.91
29	Cu 	Copper 	11	4	64	63.546	8.96	1357.75	2835	0.385	1.9
30	Zn 	Zinc 	12	4	65	65.38	7.134	692.88	1180	0.388	1.65
31	Ga 	Gallium 	13	4	70	69.723	5.907	302.91	2477	0.371	1.81
32	Ge 	Germanium 	14	4	73	72.64	5.323	1211.45	3106	0.32	2.01
33	As 	Arsenic 	15	4	75	74.9216	5.776	1090.157	887	0.329	2.18
34	Se 	Selenium 	16	4	79	78.96	4.809	494.15	958	0.321	2.55
35	Br 	Bromine 	17	4	80	79.904	3.122	266.05	332	0.474	2.96
36	Kr 	Krypton 	18	4	84	83.798	0.003733	115.93	119.93	0.248	3
37	Rb 	Rubidium 	1	5	85	85.4678	1.532	312.79	961	0.363	0.82
38	Sr 	Strontium 	2	5	87	87.62	2.64	1042.15	1655	0.301	0.95
39	Y 	Yttrium 	3	5	89	88.90585	4.469	1799.15	3609	0.298	1.22
40	Zr 	Zirconium 	4	5	91	91.224	6.506	2125.15	4682	0.278	1.33
41	Nb 	Niobium 	5	5	93	92.90638	8.57	2741.15	5017	0.265	1.6
42	Mo 	Molybdenum 	6	5	96	95.96	10.22	2890.15	4912	0.251	2.16
43	Tc 	Technetium 	7	5	98	98	11.5	2473.15	5150	- 	1.9
44	Ru 	Ruthenium 	8	5	102	101.07	12.37	2523.15	4423	0.238	2.2
45	Rh 	Rhodium 	9	5	103	102.9055	12.41	2239.15	3968	0.243	2.28
46	Pd 	Palladium 	10	5	106	106.42	12.02	1825.15	3236	0.244	2.2
47	Ag 	Silver 	11	5	107	107.8682	10.501	1234.15	2435	0.235	1.93
48	Cd 	Cadmium 	12	5	114	112.411	8.69	594.33	1040	0.232	1.69
49	In 	Indium 	13	5	115	114.818	7.31	429.91	2345	0.233	1.78
50	Sn 	Tin 	14	5	120	118.71	7.287	505.21	2875	0.228	1.96
51	Sb 	Antimony 	15	5	121	121.76	6.685	904.05	1860	0.207	2.05
52	Te 	Tellurium 	16	5	130	127.6	6.232	722.8	1261	0.202	2.1
53	I 	Iodine 	17	5	127	126.90447	4.93	386.65	457.4	0.214	2.66
54	Xe 	Xenon 	18	5	132	131.293	0.005887	161.45	165.03	0.158	2.6
55	Cs 	Cesium 	1	6	133	132.9054519	1.873	301.7	944	0.242	0.79
56	Ba 	Barium 	2	6	138	137.327	3.594	1002.15	2170	0.204	0.89
57	La 	Lanthanum 		6	139	138.90547	6.145	1193.15	3737	0.195	1.1
58	Ce 	Cerium 		6	140	140.116	6.77	1071.15	3716	0.192	1.12
59	Pr 	Praseodymium 		6	141	140.90765	6.773	1204.15	3793	0.193	1.13
60	Nd 	Neodymium 		6	142	144.242	7.007	1289.15	3347	0.19	1.14
61	Pm 	Promethium 		6	145	145	7.26	1204.15	3273	- 	-
62	Sm 	Samarium 		6	152	150.36	7.52	1345.15	2067	0.197	1.17
63	Eu 	Europium 		6	153	151.964	5.243	1095.15	1802	0.182	-
64	Gd 	Gadolinium 		6	158	157.25	7.895	1585.15	3546	0.236	1.2
65	Tb 	Terbium 		6	159	158.92535	8.229	1630.15	3503	0.182	-
66	Dy 	Dysprosium 		6	164	162.5	8.55	1680.15	2840	0.17	1.22
67	Ho 	Holmium 		6	165	164.93032	8.795	1743.15	2993	0.165	1.23
68	Er 	Erbium 		6	166	167.259	9.066	1795.15	3503	0.168	1.24
69	Tm 	Thulium 		6	169	168.93421	9.321	1818.15	2223	0.16	1.25
70	Yb 	Ytterbium 		6	174	173.054	6.965	1097.15	1469	0.155	-
71	Lu 	Lutetium 	3	6	175	174.9668	9.84	1936.15	3675	0.154	1.27
72	Hf 	Hafnium 	4	6	180	178.49	13.31	2500.15	4876	0.144	1.3
73	Ta 	Tantalum 	5	6	181	180.94788	16.654	3269.15	5731	0.14	1.5
74	W 	Tungsten 	6	6	184	183.84	19.25	3680.15	5828	0.132	2.36
75	Re 	Rhenium 	7	6	187	186.207	21.02	3453.15	5869	0.137	1.9
76	Os 	Osmium 	8	6	192	190.23	22.61	3300.15	5285	0.13	2.2
77	Ir 	Iridium 	9	6	193	192.217	22.56	2716.15	4701	0.131	2.2
78	Pt 	Platinum 	10	6	195	195.084	21.46	2045.15	4098	0.133	2.28
79	Au 	Gold 	11	6	197	196.966569	19.282	1337.73	3129	0.129	2.54
80	Hg 	Mercury 	12	6	202	200.59	13.5336	234.43	630	0.14	2
81	Tl 	Thallium 	13	6	205	204.3833	11.85	577.15	1746	0.129	1.62
82	Pb 	Lead 	14	6	208	207.2	11.342	600.75	2022	0.129	2.33
83	Bi 	Bismuth 	15	6	209	208.9804	9.807	544.67	1837	0.122	2.02
84	Po 	Polonium 	16	6	209	210	9.32	527.15	1235	- 	2
85	At 	Astatine 	17	6	210	210	7	575.15	610		2.2
86	Rn 	Radon 	18	6	222	222	0.00973	202.15	211.3	0.094	-
87	Fr 	Francium 	1	7	223	223	1.87	300.15	950	- 	0.7
88	Ra 	Radium 	2	7	223	223	5.5	973.15	2010		0.9
89	Ac 	Actinium 		7	227	227	10.07	1323.15	3471	0.12	1.1
90	Th 	Thorium 		7	232	232.03806	11.72	2028.15	5061	0.113	1.3
91	Pa 	Protactinium 		7	231	231.03588	15.37	1873.15	4300	- 	1.5
92	U 	Uranium 		7	238	238.02891	18.95	1405.15	4404	0.116	1.38
93	Np 	Neptunium 		7	237	237	20.45	913.15	4273	- 	1.36
94	Pu 	Plutonium 		7	244	244	19.84	913.15	3501	- 	1.28
95	Am 	Americium 		7	243	243	13.69	1267.15	2880	- 	1.3
96	Cm 	Curium 		7	247	247	13.51	1340.15	3383	- 	1.3
97	Bk 	Berkelium 		7	247	247	14.79	1259.15	983	- 	1.3
98	Cf 	Californium 		7	251	251	15.1	1925.15	1173	- 	1.3
99	Es 	Einsteinium 		7	252	252	13.5	1133.15	- 	- 	1.3
100	Fm 	Fermium 		7	257	257	- 	- 	- 	- 	1.3
101	Md 	Mendelevium 		7	258	258	- 	- 	- 	- 	1.3
102	No 	Nobelium 		7	259	259	- 	- 	- 	- 	1.3
103	Lr 	Lawrencium 	3	7	262	262	- 	- 	- 	- 	-
104	Rf 	Rutherfordium 	4	7	261	261	18.1	- 	- 	- 	-
105	Db 	Dubnium 	5	7	262	262	39	- 	- 	- 	-
106	Sg 	Seaborgium 	6	7	266	266	35	- 	- 	- 	-
107	Bh 	Bohrium 	7	7	264	264	37	- 	- 	- 	-
108	Hs 	Hassium 	8	7	267	267	41	- 	- 	- 	-
109	Mt 	Meitnerium 	9	7	268	268	35	- 	- 	- 	-
110	Ds 	Darmstadtium 	10	7	271	271	- 	- 	- 	- 	-
111	Rg 	Roentgenium 	11	7	272	272	- 	- 	- 	- 	-
112	Cn 	Copernicium 	12	7	285	285	- 	- 	- 	- 	-
113	Uut 	Ununtrium 	13	7	284	284	- 	- 	- 	- 	-
114	Uuq 	Ununquadium 	14	7	289	289	- 	- 	- 	- 	-
115	Uup 	Ununpentium 	15	7	288	288	- 	- 	- 	- 	-
116	Uuh 	Ununhexium 	16	7	292	292	- 	- 	- 	- 	-
117	Uus 	Ununseptium 	17	7	295	295	- 	- 	- 	- 	-
118	Uuo 	Ununoctium 	18	7	294	294	- 	- 	- 	- 	
