Bohr straggling correction parameter according to W. K. Chu, Phys. Rev. A13 (1976) 2057; values extracted from Q.Yang, D.J. O'Connor, Z. Wang, Nucl. Instr. Meth. B61 (1991) 149
2	-0.3291	-0.8312	0.2460	-1.0220
3	-0.5615	-0.5898	0.5205	-0.7258
4	-0.5280	-0.4981	 0.5519	-0.5865
5	-0.5125	-0.4625	0.5660	-0.5190
6	-0.5127	-0.8595	0.5626	-0.8721
7	-0.5174	-1.1930	0.5565	-1.1980
8	-0.5179	-1.1850	0.5560	-1.2070
9	-0.5209	-0.9355	0.5590	-1.0250
10	-0.5255	-0.7766	0.5720	-0.9412
11	-0.5776	-0.6665	0.6598	-0.8484
12	-0.6013	-0.6045	0.7321	-0.7671 
13	-0.5781	-0.5518	0.7605	-0.6919
14	-0.5587	-0.4981	0.7835	-0.6195
15	-0.5466	-0.4656	0.7978	-0.5771
16	-0.5406	-0.4690	0.8031	-0.5718
17	-0.5391	-0.5061	0.8024	-0.5974
18	-0.5380	-0.6483	0.7962	-0.6970
19	-0.5355	-0.7722	0.7962	-0.7839
20	-0.5329	-0.7720	0.7988	-0.7846
21	-0.5335	-0.7671	0.7984	-0.7933
22	-0.5324	-0.7612	0.7998	-0.8031
23	-0.5305	-0.7300	0.8031	-0.7990
24	-0.5307	-0.7178	0.8049	-0.8216
25	-0.5248	-0.6621	0.8165	-0.7919
26	-0.5180	-0.6502	0.8266	-0.7986
27	-0.5084	-0.6408	0.8396	-0.8048
28	-0.4967	-0.6331	0.8549	-0.8093
29	-0.4861	-0.6508	0.8712	-0.8432
30	-0.4700	-0.6186	0.8961	-0.8132
31	-0.4545	-0.5720	0.9227	-0.7710
32	-0.4404	-0.5226	0.9481	-0.7254
33	-0.4288	-0.4778	0.9701	-0.6850
34	-0.4199	-0.4425	0.9874	-0.6539
35	-0.4131	-0.4188	0.9998	-0.6332
36	-0.4089	-0.4057	1.0070	-0.6218
37	-0.4039	-0.3913	1.0150	-0.6107
38	-0.3987	-0.3698	1.0240	-0.5938
39	-0.3977	-0.3608	1.0260	-0.5852
40	-0.3972	-0.3600	1.0260	-0.5842
41	-0.3985	-0.3803	1.0200	-0.6013
42	-0.3985	-0.3979	1.0150	-0.6168
43	-0.3968	-0.3990	1.0160	-0.6195
44	-0.3971	-0.4432	1.0050	-0.6591
45	-0.3944	-0.4665	1.0010	-0.6825
46	-0.3924	-0.5109	0.9921	-0.7235
47	-0.3882	-0.5158	0.9947	-0.7343
48	-0.3838	-0.5125	0.9999	-0.7370
49	-0.3786	-0.4976	1.0090	-0.7310
50	-0.3741	-0.4738	1.0200	-0.7155
51	-0.3969	-0.4496	1.0320	-0.6982
52	-0.3663	-0.4297	1.0430	-0.6828
53	-0.3630	-0.4120	1.0530	-0.6689
54	-0.3597	-0.3964	1.0620	-0.6564
55	-0.3555	-0.3809	1.0720	-0.6454
56	-0.3525	-0.3607	1.0820	-0.6289
57	-0.3505	-0.3465	1.0900	-0.6171
58	-0.3397	-0.3570	1.1020	-0.6384
59	-0.3314	-0.3552	1.1130	-0.6441
60	-0.3235	-0.3531	1.1230	-0.6498
61	-0.3150	-0.3483	1.1360	-0.6539
62	-0.3060	-0.3441	1.1490	-0.6593
63	-0.2968	-0.3396	1.1630	-0.6649
64	-0.2935	-0.3225	1.1760	-0.6527
65	-0.2797	-0.3262	1.1940	-0.6722
66	-0.2704	-0.3202	1.2100	-0.6770
67	-0.2815	-0.3227	1.2480	-0.6775
68	-0.2880	-0.3245	1.2810	-0.6801
69	-0.3034	-0.3263	1.3270	-0.6778
70	-0.2936	-0.3215	1.3430	-0.6835
71	-0.3282	-0.3200	1.3980	-0.6650
72	-0.3260	-0.3070	1.4090	-0.6552
73	-0.3511	-0.3074	1.4470	-0.6442
74	-0.3501	-0.3064	1.4500	-0.6442
75	-0.3490	-0.3027	1.4550	-0.6418
76	-0.3487	-0.3048	1.4570	-0.6447
77	-0.3478	-0.3074	1.4600	-0.6483
78	-0.3501	-0.3283	1.4540	-0.6669
79	-0.3494	-0.3373	1.4550	-0.6765
80	-0.3485	-0.3373	1.4560	-0.6774
81	-0.3462	-0.3300	1.4630	-0.6728
82	-0.3462	-0.3225	1.4690	-0.6662
83	-0.3453	-0.3094	1.4790	-0.6553
84	-0.3844	-0.3134	1.5240	-0.6412
85	-0.3848	-0.3018	1.5310	-0.6303
86	-0.3862	-0.2955	1.5360	-0.6237
87	-0.4262	-0.2991	1.5860	-0.6115
88	-0.4278	-0.2910	1.5900	-0.6029
89	-0.4303	-0.2817	1.5940	-0.5927
90	-0.4315	-0.2719	1.6010	-0.5829
91	-0.4359	-0.2914	1.6050	-0.6010
92	-0.4365	-0.2982	1.6080	-0.6080
93	-0.4253	-0.3037	1.6120	-0.6150
94	-0.4335	-0.3245	1.6160	-0.6377
95	-0.4307	-0.3292	1.6210	-0.6447
96	-0.4284	-0.3204	1.6290	-0.6380
97	-0.4227	-0.3217	1.6360	-0.6438
