0	36	0	6.14226e+06	3.81586e+06	365071	163531	336807	500338
1	57	0	7.40817e+06	6.17484e+06	594180	264921	537234	802155
2	79	0	8.29321e+06	7.63229e+06	735134	327008	661758	988766
3	113	0	9.28722e+06	9.10437e+06	878080	390747	787929	1178676
4	140	0	9.97081e+06	1.04124e+07	1004129	446710	898963	1345673
5	173	0	1.03834e+07	1.13506e+07	1095704	485666	981555	1467221
6	164	0	1.03452e+07	1.15888e+07	1120249	496009	1000060	1496069
7	222	0	1.02052e+07	1.17549e+07	1135654	503698	1014076	1517774
8	222	0	9.97883e+06	1.17947e+07	1140480	507076	1017055	1524131
9	261	0	9.57697e+06	1.16865e+07	1129155	501144	1006563	1507707
10	240	0	8.74678e+06	1.08313e+07	1050049	465680	933938	1399618
11	233	0	7.83925e+06	1.0033e+07	971292	430597	865656	1296253
12	226	0	6.9231e+06	8.99485e+06	869744	385914	774095	1160009
13	231	0	6.23483e+06	8.02129e+06	776356	343326	691920	1035246
14	217	0	5.51524e+06	6.98471e+06	676310	299519	601901	901420
15	172	0	4.8162e+06	5.85548e+06	565181	251397	505939	757336
16	125	0	2.8632e+06	3.76501e+06	364641	161265	325648	486913
17	104	0	2.46617e+06	3.03837e+06	293267	130614	261215	391829
18	62	0	2.21574e+06	2.58849e+06	250666	110599	223723	334322
19	41	0	2.03236e+06	2.11074e+06	203541	90891	186311	277202
